Date,Open,High,Low,Close,Adj Close,Volume
2015/12/23,null,null,null,null,null,null
2015/12/24,55.299999,55.5,55.200001,55.200001,48.012978,4086000
2015/12/25,55.200001,55.700001,55.200001,55.700001,48.447876,3108000
2015/12/28,55.700001,55.900002,55.599998,55.599998,48.360897,4284000
2015/12/29,55,55.099998,54.200001,54.200001,47.143177,4872000
2015/12/30,54.5,55.099998,54.400002,54.5,47.404118,2716000
2015/12/31,54.700001,55.200001,54.599998,54.900002,47.752041,3097000
2016/1/4,55.099998,55.400002,53.5,53.900002,46.88224,7430000
2016/1/5,53.900002,54.599998,53.799999,54.099998,47.056198,4814000
2016/1/6,54.099998,54.700001,53.700001,54.099998,47.056198,8944000
2016/1/7,54.400002,54.5,53.200001,53.799999,46.795258,8842000
2016/1/8,53.299999,53.599998,52.799999,53,46.099419,9200000
2016/1/11,52.599998,52.799999,51.900002,51.900002,45.142639,12596000
2016/1/12,52.200001,52.400002,50.299999,51,44.359818,15280000
2016/1/13,51.599998,52.299999,51.599998,52.299999,45.490559,7805000
2016/1/14,51.599998,53,51,53,46.099419,9739000
2016/1/15,52.799999,53.099998,51.700001,52.900002,46.012436,15633000
2016/1/18,51.700001,52.5,51.599998,52.099998,45.316597,8980000
2016/1/19,52.5,53.299999,52.099998,52.5,45.664516,5384000
2016/1/20,52.299999,53,52.099998,53,46.099419,7742000
2016/1/21,53.200001,53.299999,52.200001,52.299999,45.490559,9222000
2016/1/22,53,53.200001,52.099998,52.299999,45.490559,6342000
2016/1/25,52.099998,53.799999,52.099998,53.299999,46.360355,6725000
2016/1/26,52.900002,53.200001,52.400002,53,46.099419,5203000
2016/1/27,53.5,54,53.200001,54,46.969219,6275000
2016/1/28,54,55.299999,53.700001,55.299999,48.09996,11695000
2016/1/29,54.5,55.5,54.5,55.5,48.273914,12581000
